id,account_id,counterparty_id,date,amount,currency,flow_direction,description,gl_code,data_source,record_type
tx_oecd_HKG_TOTAL_2016_292,acc_hkg_TOTAL,gov_hkg,2016-01-01,572954.0,HKD,inbound,Tax revenue: Tax and non-tax revenue,TOTAL,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTAL_2017_293,acc_hkg_TOTAL,gov_hkg,2017-01-01,619544.0,HKD,inbound,Tax revenue: Tax and non-tax revenue,TOTAL,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTAL_2018_294,acc_hkg_TOTAL,gov_hkg,2018-01-01,599493.0,HKD,inbound,Tax revenue: Tax and non-tax revenue,TOTAL,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTAL_2019_295,acc_hkg_TOTAL,gov_hkg,2019-01-01,590926.0,HKD,inbound,Tax revenue: Tax and non-tax revenue,TOTAL,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTAL_2020_296,acc_hkg_TOTAL,gov_hkg,2020-01-01,564230.0,HKD,inbound,Tax revenue: Tax and non-tax revenue,TOTAL,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTAL_2021_297,acc_hkg_TOTAL,gov_hkg,2021-01-01,693520.0,HKD,inbound,Tax revenue: Tax and non-tax revenue,TOTAL,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTAL_2022_298,acc_hkg_TOTAL,gov_hkg,2022-01-01,622147.0,HKD,inbound,Tax revenue: Tax and non-tax revenue,TOTAL,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTAL_2023_299,acc_hkg_TOTAL,gov_hkg,2023-01-01,549406.0,HKD,inbound,Tax revenue: Tax and non-tax revenue,TOTAL,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_D_2014_300,acc_hkg_NTR_D,gov_hkg,2014-01-01,1328.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_D,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_2014_301,acc_hkg_NTR_C,gov_hkg,2014-01-01,88875.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BB_2014_302,acc_hkg_NTR_BB,gov_hkg,2014-01-01,215.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BB,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_E_2014_303,acc_hkg_NTR_E,gov_hkg,2014-01-01,10484.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_E,OECD_CTP,tax_revenue
